id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
139847,1322,1/1/2014 15:29,Embarcadero at Bryant,54,1/1/2014 15:51,San Francisco Caltrain 2 (330 Townsend),69,477,Subscriber,95139
140855,345,1/2/2014 17:28,Spear at Folsom,49,1/2/2014 17:34,2nd at Townsend,61,420,Subscriber,94107
141859,389,1/3/2014 16:08,Embarcadero at Vallejo,48,1/3/2014 16:14,Embarcadero at Bryant,54,447,Subscriber,94105
142879,507,1/5/2014 11:59,Temporary Transbay Terminal (Howard at Beale),55,1/5/2014 12:08,Harry Bridges Plaza (Ferry Building),50,418,Subscriber,94103
143868,573,1/6/2014 14:09,South Van Ness at Market,66,1/6/2014 14:18,Market at Sansome,77,385,Subscriber,94102
144890,263,1/7/2014 9:01,Davis at Jackson,42,1/7/2014 9:05,Embarcadero at Folsom,51,328,Subscriber,94105
145868,282,1/7/2014 23:37,5th at Howard,57,1/7/2014 23:41,Howard at 2nd,63,322,Subscriber,94107
146808,281,1/8/2014 17:22,Powell Street BART,39,1/8/2014 17:27,Civic Center BART (7th at Market),72,466,Customer,
147791,578,1/9/2014 12:28,San Francisco Caltrain 2 (330 Townsend),69,1/9/2014 12:38,Harry Bridges Plaza (Ferry Building),50,374,Subscriber,94109
148819,353,1/10/2014 8:32,Temporary Transbay Terminal (Howard at Beale),55,1/10/2014 8:38,2nd at South Park,64,427,Subscriber,90291
149765,455,1/10/2014 18:15,Harry Bridges Plaza (Ferry Building),50,1/10/2014 18:23,Grant Avenue at Columbus Avenue,73,598,Subscriber,94133
150763,1620,1/12/2014 19:12,Harry Bridges Plaza (Ferry Building),50,1/12/2014 19:39,Harry Bridges Plaza (Ferry Building),50,502,Customer,94521
151743,569,1/13/2014 16:52,5th at Howard,57,1/13/2014 17:01,Steuart at Market,74,520,Subscriber,94503
152699,494,1/14/2014 9:48,San Francisco Caltrain (Townsend at 4th),70,1/14/2014 9:56,Temporary Transbay Terminal (Howard at Beale),55,573,Subscriber,94404
153626,656,1/15/2014 6:51,San Francisco Caltrain (Townsend at 4th),70,1/15/2014 7:02,Embarcadero at Vallejo,48,580,Subscriber,95110
154565,334,1/15/2014 16:42,Powell at Post (Union Square),71,1/15/2014 16:48,Market at Sansome,77,361,Subscriber,94945
155495,278,1/16/2014 9:28,Post at Kearney,47,1/16/2014 9:33,2nd at South Park,64,504,Subscriber,94903
156432,911,1/16/2014 19:45,Civic Center BART (7th at Market),72,1/16/2014 20:00,San Francisco Caltrain (Townsend at 4th),70,461,Subscriber,94107
157350,145,1/17/2014 16:04,Davis at Jackson,42,1/17/2014 16:07,Beale at Market,56,461,Subscriber,94109
158337,1167,1/18/2014 16:00,2nd at South Park,64,1/18/2014 16:20,Embarcadero at Bryant,54,377,Customer,95825
159294,687,1/20/2014 11:09,South Van Ness at Market,66,1/20/2014 11:20,Beale at Market,56,449,Subscriber,94133
160193,777,1/21/2014 8:58,Temporary Transbay Terminal (Howard at Beale),55,1/21/2014 9:11,Golden Gate at Polk,59,423,Subscriber,94608
161130,771,1/21/2014 20:09,South Van Ness at Market,66,1/21/2014 20:22,2nd at South Park,64,449,Subscriber,94107
162094,617,1/22/2014 16:31,Steuart at Market,74,1/22/2014 16:41,San Francisco Caltrain 2 (330 Townsend),69,387,Subscriber,94403
162996,496,1/23/2014 9:16,Temporary Transbay Terminal (Howard at Beale),55,1/23/2014 9:24,Clay at Battery,41,347,Subscriber,94610
